Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19604.0612,19063.85679,18398.44943,18541.27138,19194.74787,20139.21826,21088.04671,22656.7437,23725.13445,26685.3365,28034.24882,28956.94952,29715.75072,29363.17672,29869.46207,31261.8319,32401.68637,33117.66685,32373.55304,30728.87542,31090.63965,31522.07904,32216.6978,31873.01085,33154.72055,33424.24466,34154.98145,36298.448,37908.83814,38669.33501,
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953.1875113,1208.592355,2365.470121,3258.300197,3810.755337,4226.685992,4549.329624,4751.158603,5136.524329,5373.57235,6201.107913,6479.662707,7404.114907,8186.569183,9028.825887,9035.264239,9355.427227,9976.459713,10304.07913,11016.56043,11433.21593,12010.71236,13072.13223,13753.83205,14916.79438,15817.10213,
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5232.078293,5341.485263,4928.1088,4650.988237,4199.440345,3854.031976,4047.990731,4606.719591,5073.961928,5344.658214,5808.357426,6248.211382,6709.845503,7367.193779,8489.484087,9642.429793,10994.76674,12317.4565,13885.74672,14050.88031,15349.22813,16543.04373,18071.5056,18948.46847,18955.90703,18041.2425,17725.75218,18280.19892,19338.66644,19683.83409,
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3334.952297,3770.961802,4248.443054,4544.831687,4555.420228,4562.539009,4564.858042,4636.511025,4681.775284,4978.748004,5558.675637,5765.77696,5962.154725,6466.717264,6780.812335,6941.846284,7303.681144,7347.037952,7554.557509,7438.678904,7563.828529,7684.840893,7272.848497,7227.162071,7170.529464,7244.53158,7179.481807,7108.753193,7262.732098,7166.266452,
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30763.14981,30837.96833,31751.0674,33302.19517,33980.77326,35961.25042,37332.67857,39481.72143,41179.62687,42946.24702,47571.7396,51566.79785,51273.66621,53654.9084,56011.34693,58344.07101,71580.62207,75534.9776,75121.64813,71040.17368,70620.08068,69998.84342,67453.82052,68993.22749,68775.44674,71873.22806,76362.05141,81834.95587,83377.06467,85263.763,
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2374.678958,2530.237262,2575.605361,2692.073797,2818.558744,2950.814982,3072.635339,3215.093039,3347.609941,3344.228541,3437.616424,3504.736376,3580.814331,3677.639972,3863.452017,4086.376104,4335.381713,4575.664232,4868.442636,4986.457909,5167.110313,5460.257058,5921.648907,6624.805922,7056.828364,7133.873145,7499.772741,8423.697558,8863.349174,9093.431659,
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6701.208954,6909.921928,6915.312612,7287.075031,7712.671625,8090.89035,8288.179252,8582.067433,8575.873356,8611.90028,9060.786451,9260.766116,9568.063688,9733.770924,10445.34462,10988.95839,11642.44413,12549.92785,13312.76342,13269.11878,14299.55155,15040.05765,15046.29018,15588.72613,15718.56495,14744.11363,14256.16339,14519.84955,14773.89501,15076.40345,
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9579.78616,9481.938572,9111.936587,9366.917573,9721.580356,10084.89136,10634.25131,11282.39942,11784.20407,11944.6357,12705.12287,12630.94304,12887.82622,13368.34994,13873.89609,14816.1173,16098.21053,16820.35328,17190.94622,16374.51507,16127.81138,16304.38242,15310.11393,15334.82825,15175.49564,15510.66121,15951.95868,15789.04116,16051.25581,16300.42221,
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55915.16378,57946.13535,60345.96896,60248.94872,61767.66086,64188.55083,65587.84236,64190.16312,63099.24115,64532.51464,66439.13672,68349.93038,70717.779,72755.32113,73808.32138,75214.16712,79772.89055,81012.99009,80036.74599,78298.52299,80280.02445,83935.22572,88245.95835,83788.51089,81371.23087,62540.62522,56297.22671,60994.53156,61839.11757,64724.13248,
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625.280691,1658.682494,1780.993173,1860.537314,2006.005588,2177.01112,2309.466757,2420.512666,2530.066395,2738.979623,2696.378391,2923.116464,3229.50883,3480.084171,3723.461728,4056.152552,4412.510058,5302.73422,5608.49446,5972.870569,6693.515913,7295.853328,7912.144645,7989.689179,8666.455725,9500.650716,10457.24438,11142.47467,11620.9159,12332.53949,
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5682.072122,6124.065405,6270.378602,6375.622303,6583.544644,7022.211814,7388.871801,7953.386193,7897.090662,8597.69624,8784.194076,8830.942249,9347.851523,9791.025433,10144.50638,10733.22548,11742.50064,12780.63868,13552.63337,12366.55402,13352.28793,14252.68476,13590.51553,14707.59496,16300.82951,15547.16432,17260.45654,17253.6875,18058.06096,18506.52251,
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.4374725,637.0086088,593.0389087,591.7456686,616.0240534,655.8885439,624.5962956,652.4358413,674.2820295,692.2036983,674.4408517,704.2225429,725.6148338,684.9559203,730.7469777,745.5732324,789.2096421,831.6089804,849.9410502,916.1877056,958.9211041,1012.657401,1102.027526,738.4748923,720.3241096,787.0129065,851.0726713,912.8030453,955.5137443,985.1120414,
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20150.28502,20145.421,20550.04786,21363.07086,22554.70702,23402.88135,23963.39222,25166.87008,26219.95655,27745.80655,29265.25132,30107.70625,30853.20132,32219.45502,33795.6563,36211.0846,37995.16236,39452.00269,40275.9899,38795.47969,40019.92625,41569.44962,42290.96541,44298.57873,45753.75055,44670.08054,46472.34025,48327.61481,50075.34418,50510.74762,
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7096.928152,6652.739137,6685.190112,6956.417924,7393.549819,7974.530626,8378.731763,8700.29815,9093.746277,9393.398579,10015.50795,10798.82926,11625.2762,12322.17767,13463.25668,14302.13304,15889.63695,17726.50856,19660.99341,19701.27119,20801.99158,22181.39579,22962.77757,23954.04319,24969.92529,26121.96026,27858.05746,29879.60641,31907.79524,34111.75469,
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27570.63283,27891.19366,28201.68449,28572.09127,29318.10659,29876.485,30505.98739,31804.75372,32917.79955,33814.07929,35765.17088,36778.54106,37718.3041,37716.28964,39173.23475,40572.26321,45092.86419,49734.03223,52584.73495,51796.53825,53112.42458,56183.83257,57849.58395,60108.51635,61902.16241,63921.80251,65726.81717,66697.57097,68709.44418,70276.55474,
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511.172098,4952.539608,5622.777742,6119.381459,6568.777966,7351.82983,8011.572773,8637.326621,8995.763222,8977.116842,9553.568491,9972.651669,10333.06096,10841.3259,11812.63413,12746.58969,15753.9601,16941.82983,16501.80988,16159.60715,18161.80924,20342.56148,21507.69257,22439.27325,22786.64277,22698.54566,23437.59253,24471.61092,24797.55871,26247.38579,
