Sample ID #,Location,Source,Date/Time Collected,Date Analyzed,Lab ID,Analyte,Results,PPS Action Level,Units, , , , 
266-5254-A-001B,Room,110,8/9/18,8/13/18,18018668,Copper,0.0281,1.3,ppm,,,,
266-5254-A-001B,Room,110,8/9/18,8/13/18,18018668,Lead,4,15,ppb,,,,
266-5311-A-001A,Portable,201,8/9/18,8/13/18,18018669,Copper,0.0281,1.3,ppm,,,,
266-5311-A-001A,Portable,201,8/9/18,8/13/18,18018669,Lead,22,15,ppb,,,,
266-5311-A-001B,Portable,201,8/9/18,8/13/18,18018670,Copper,0.0281,1.3,ppm,,,,
266-5311-A-001B,Portable,201,8/9/18,8/13/18,18018670,Lead,11,15,ppb,,,,
266-5314-A-001A,Portable,202,8/9/18,8/13/18,18018673,Copper,0.0281,1.3,ppm,,,,
266-5314-A-001A,Portable,202,8/9/18,8/13/18,18018673,Lead,10,15,ppb,,,,
266-5314-A-001B,Portable,202,8/9/18,8/13/18,18018674,Copper,0.0281,1.3,ppm,,,,
266-5314-A-001B,Portable,202,8/9/18,8/13/18,18018674,Lead,8,15,ppb,,,,
266-5317-A-001A,Portable,201/202,8/9/18,8/13/18,18018675,Copper,0.9,1.3,ppm,,,,
266-5317-A-001A,Portable,201/202,8/9/18,8/13/18,18018675,Lead,4,15,ppb,,,,
266-5317-A-001B,Portable,201/202,8/9/18,8/13/18,18018676,Copper,0.5,1.3,ppm,,,,
266-5317-A-001B,Portable,201/202,8/9/18,8/13/18,18018676,Lead,2,15,ppb,,,,
