Sample ID #,Location,Source,Date/Time Collected,Date Analyzed,Lab ID,Analyte,Results,Detection,PPS Action Level,Units, , , , , , , 
282-2183-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-31,Copper,0.105,0.002,1.3,ppm,,,,,,,
282-2183-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-31,Lead,20.5,0.2,15,ppb,,,,,,,
282-2183-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-32,Copper,0.0259,0.002,1.3,ppm,,,,,,,
282-2183-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-32,Lead,3.92,0.2,15,ppb,,,,,,,
282-2182-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-33,Copper,0.0107,0.002,1.3,ppm,,,,,,,
282-2182-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-33,Lead,12.3,0.2,15,ppb,,,,,,,
282-2182-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-34,Copper,0.0134,0.002,1.3,ppm,,,,,,,
282-2182-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-34,Lead,3.16,0.2,15,ppb,,,,,,,
282-2181-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-35,Copper,0.0686,0.002,1.3,ppm,,,,,,,
282-2181-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-35,Lead,22.2,0.2,15,ppb,,,,,,,
282-2181-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-36,Copper,0.109,0.002,1.3,ppm,,,,,,,
282-2181-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-36,Lead,36.9,0.2,15,ppb,,,,,,,
282-2208-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-37,Copper,0.0246,0.002,1.3,ppm,,,,,,,
282-2208-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-37,Lead,4.93,0.2,15,ppb,,,,,,,
282-2208-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-38,Copper,0.0494,0.002,1.3,ppm,,,,,,,
282-2208-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-38,Lead,2.55,0.2,15,ppb,,,,,,,
282-2204-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-39,Copper,0.0232,0.002,1.3,ppm,,,,,,,
282-2204-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-39,Lead,10.7,0.2,15,ppb,,,,,,,
282-2204-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-40,Copper,0.0517,0.002,1.3,ppm,,,,,,,
282-2204-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-40,Lead,17,0.2,15,ppb,,,,,,,
282-2205-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-41,Copper,0.0209,0.002,1.3,ppm,,,,,,,
282-2205-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-41,Lead,15.1,0.2,15,ppb,,,,,,,
282-2205-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-42,Copper,0.0323,0.002,1.3,ppm,,,,,,,
282-2205-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-42,Lead,32.3,0.2,15,ppb,,,,,,,
282-2203-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-43,Copper,0.0494,0.002,1.3,ppm,,,,,,,
